KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
8992775000250;CHOCOLATOS MATCHA;PCS;PCS;1;RTG;8;;0;;0;;0;;0;;0;;0;;0;16375;0;2000;0;0;0;0;0;
8992775000793;GARUDA ROSTA MERAH;RENTENG;RENTENG;1;RENTENG;3;;0;;0;;0;;0;;0;;0;;0;17333;0;1000;0;0;0;0;0;
8992775002391;Crunchy tornado;PCS;pcs;1;lsn;20;;0;;0;;0;;0;;0;;0;;0;1750;0;2000;0;0;0;0;0;
8992775004241;DILAN TOPLES 1000;PCS;PCS;1;TOPLES;25;;0;;0;;0;;0;;0;;0;;0;880;0;1000;0;0;0;0;0;
8992775005651;CHOCOLATOS BESAR;KTK;ktk;1;KTN;8;;0;;0;;0;;0;;0;;0;;0;823;0;1000;0;0;0;0;0;
8992775100103;PILUS GARUDA HIJAU;RENTENG;RENTENG;1;1 BAL;6;;0;;0;;0;;0;;0;;0;;0;8667;0;1000;0;0;0;0;0;
899277510013;PILUS GARUDA UNGU;RENTENG;RENTENG1;1;1BAL;6;;0;;0;;0;;0;;0;;0;;0;8667;0;1000;0;0;0;0;0;
8992775100622;Gery wafer roll;pcs;pcs;1;ktk;8;;0;;0;;0;;0;;0;;0;;0;16375;0;1000;0;0;0;0;0;
8992775110317;garuda kacang kulit;pcs;pcs;1;pcs;30;;0;;0;;0;;0;;0;;0;;0;1717;0;2000;0;0;0;0;0;
8992775203408;GARUDA ROSTA HIJAU;RENTENG;RENTENG;1;0,5;3;;0;;0;;0;;0;;0;;0;;0;17333;0;1000;0;0;0;0;0;
8992775214008;KACANG ATOM;RENTENG;RENTENG;1;BAL;6;;0;;0;;0;;0;;0;;0;;0;8667;0;9000;0;0;0;0;0;
8992775311615;CHOCOLATOS WAFER ROLL;BKS;BKS;1;KOTAk;15;;0;;0;;0;;0;;0;;0;;0;10000;0;500;0;0;0;0;0;
8992775311776;DILAN WAFLE;PCS;PCS;1;KRN;120;;0;;0;;0;;0;;0;;0;;0;23700;0;2000;0;0;0;0;0;
8992775610008;permen ting ting;pcs;pcs;1;pcs;6;;0;;0;;0;;0;;0;;0;;0;12000;0;14000;0;0;0;0;0;
8992775913000;CHOCOLATOS DRINK;RTG;pcs;1;RTG;8;;0;;0;;0;;0;;0;;0;;0;16375;0;18000;0;0;0;0;0;
8992843103050;BETADIN 5 ML;PCS;PCS;1;PCS;6;;0;;0;;0;;0;;0;;0;;0;6138;0;7500;0;0;0;0;0;
8992857010528;VAPE ANTI NYAMUK;PCS;PCS;1;PCS;60;;0;;0;;0;;0;;0;;0;;0;3583;0;4500;0;0;0;0;0;
8992858063011;PROKOL FLU DAN BATUK;PCS;PCS;1;BOX;24;;0;;0;;0;;0;;0;;0;;0;4521;0;6000;0;0;0;0;0;
8992858245912;KALPANAX SALEP 6 g;PCS;PCS;1;PAK;12;;0;;0;;0;;0;;0;;0;;0;9967;0;11000;0;0;0;0;0;
8992858658309;ENTROSTOP;PCS;PCS;1;BOX;12;;0;;0;;0;;0;;0;;0;;0;7983;0;8500;0;0;0;0;0;
8992858665017;PROMAG TABLET;PCS;PCS;1;PAK;12;;0;;0;;0;;0;;0;;0;;0;8300;0;9500;0;0;0;0;0;
8992858667202;PROCOLD KAPLET;PCS;PCS;1;BOX;24;;0;;0;;0;;0;;0;;0;;0;4104;0;5000;0;0;0;0;0;
